text,sentiment,subjectivity,polarity
"b""let's honour the time of jumu'ah and engage in acts of worship \n#acju #lka #corona https://t.co/bxntbuagnr""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'these people are #corona #virus of our country--  #komalsharma #anuragthakur #kapilmishra https://t.co/tfzstbsgx0',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'please cancel ram mela in up @myogiadityanath amid #wuhanvirus threat or take the charges of attempt of murder.\xe2\x80\xa6 https://t.co/hdomciqyon',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'@theellenshow calling her celebrity friends is my new favourite show \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8c #corona #selfisolation #togetherapart #staysafestayhome',"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.45454545454545453,0.13636363636363635
"b""protect from corona virus. follow these do's and don'ts.\n#corona,#covid19,#coronavirus.#novelcorona. https://t.co/ic87ym01hr""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'a major milestone !\n#corona https://t.co/9tpltzvf5l',"Sentiment(polarity=0.078125, subjectivity=0.5)",0.5,0.078125
b'#indiafightscorona\npreventing covid-19 at educational establishments\n#coronavirusindia \n#coronainmaharashtra\xe2\x80\xa6 https://t.co/4rvvuxnwlh',"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25
b'there should be a complete lockdown in all states in india for at least 20days to control the spread of coronavirus\xe2\x80\xa6 https://t.co/k7ppuiku56',"Sentiment(polarity=-0.09999999999999999, subjectivity=0.4)",0.4,-0.09999999999999999
b'when will #corona end? now you can know the  answer from astro experts.#astrology  #astrologyfacts\xe2\x80\xa6 https://t.co/o4dq5wxlyf',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'#covid2019india #covid2019 #covidindia \n\nindian government is planning to bring back thousands of indians from abro\xe2\x80\xa6 https://t.co/0cptbrmn2n',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"b""'don't travel unless you really have to': london cuts tube trains #coronavirus #covid19 #covid\xe3\x83\xbc19 #\xe3\x83\xa2\xe3\x83\xb3\xe3\x82\xb9\xe3\x83\x88\xe3\x83\x95\xe3\x82\xa7\xe3\x82\xa2\xe3\x83\xaa\xe3\x83\xbc\xe3\x83\x86\xe3\x82\xa4\xe3\x83\xab\xe2\x80\xa6 https://t.co/fcbh1ureav""","Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2
b'some great ideas for non-screen learning here from our friends at pobble. check out their website for more fun non-\xe2\x80\xa6 https://t.co/mdtpn9lp0w',"Sentiment(polarity=0.5333333333333333, subjectivity=0.48333333333333334)",0.48333333333333334,0.5333333333333333
b'\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3 good news - #coronavirus pandemic : #china announces no new infection with the #corona #virus locally for the fi\xe2\x80\xa6 https://t.co/ozzukwfqxn',"Sentiment(polarity=0.2106060606060606, subjectivity=0.35151515151515156)",0.35151515151515156,0.2106060606060606
b'@officeofut  @pratapsarnaik poor management of indian gov and @cmomaharashtra  making #corona isolation center in r\xe2\x80\xa6 https://t.co/6i4z9wxdxm',"Sentiment(polarity=-0.25, subjectivity=0.35)",0.35,-0.25
b'#corona / #covid19: how biogents is prepared. message to our customers and partners. \n#science4yourprotection\xe2\x80\xa6 https://t.co/e4k5qsgss7',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
"b'@inckinju @impnahar99 @narendramodi putrid,sadist culture &amp; pervert upbringing is evident vide his mafia gang of\xe2\x80\xa6 https://t.co/5mth8pl6lx'","Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25
b'#indiafightscorona\ntraders and commerce establishments against covid-19\n#coronavirusindia \n#coronainmaharashtra\xe2\x80\xa6 https://t.co/w2wclh9y8d',"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
b'breaking news: now #europe has more #coronavirus confirmed cases than #chaina (where corona born)\n\nno cure for this\xe2\x80\xa6 https://t.co/wnfajm0tn2',"Sentiment(polarity=0.45, subjectivity=0.75)",0.75,0.45
b'cdc is responding to a pandemic of respiratory disease spreading from person-to-person caused by a novel (new) coro\xe2\x80\xa6 https://t.co/m0scdmfmxg',"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.45454545454545453,0.13636363636363635
b'very good advice for all academic professionals! thanks.\n\n#corona https://t.co/twjkqtymcd',"Sentiment(polarity=0.45499999999999996, subjectivity=0.39000000000000007)",0.39000000000000007,0.45499999999999996
b'changing times call for new habits. give a shaka instead \xf0\x9f\xa4\x99\xf0\x9f\x8f\xbc#nomorehandshaking #shaka #clickyourheals #wavehi\xe2\x80\xa6 https://t.co/opawsljn2o',"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.45454545454545453,0.13636363636363635
b'#over #corona #virus #infection #causation:\n\nchinese scientists find an intimate connection between covid-19 or cor\xe2\x80\xa6 https://t.co/mqrfojt14d',"Sentiment(polarity=0.2, subjectivity=0.6)",0.6,0.2
b'work from home can be really challenging but we are making the best of all resources in the fight against #covid19\xe2\x80\xa6 https://t.co/ovfytvot4v',"Sentiment(polarity=0.75, subjectivity=0.65)",0.65,0.75
b'#ecb announced 750bln purchase program until end 2020 and promised to buy more and longer if needed to fight\xe2\x80\xa6 https://t.co/tx0s3ewffu',"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5
b'does anybody know a good explanation - how to deliver properly to elderly or vulnerable people during #corona times\xe2\x80\xa6 https://t.co/p39apjnrvd',"Sentiment(polarity=0.06666666666666665, subjectivity=0.4000000000000001)",0.4000000000000001,0.06666666666666665
b'bought this books years ago and waited for the right moment to read it. guess that\xe2\x80\x99s now...\n#blackswan #corona\xe2\x80\xa6 https://t.co/nognfhkgrr',"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.5357142857142857,0.2857142857142857
